チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,1.8,11,0,11,1,0,5,2,6,3,1,0,10.0,9,1,11,5,0,2,2,1.4,0.257,-,5.0
阪神,1.93,6,0,6,0,0,0,1,0,1,0,0,4.2,5,0,2,2,0,1,1,1.5,0.278,-,4.67
ＤｅＮＡ,1.8,11,0,11,1,2,3,4,4,5,1,2,10.0,6,0,11,1,1,2,2,0.7,0.182,-,5.0
ヤクルト,1.42,13,0,13,0,0,5,2,5,2,0,0,12.2,8,1,14,1,3,2,2,0.71,0.178,-,6.33
中日,1.54,12,0,12,0,0,7,3,7,3,0,0,11.2,7,1,15,4,0,2,2,0.94,0.179,-,5.83
