左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
9.1% (3),9.1% (3),9.1% (3),36.4% (12),36.4% (12),36.4% (12),54.5% (18),54.5% (18),54.5% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),12.5% (3),33.3% (3),- (0),37.5% (9),66.7% (6),- (0),50.0% (12)
