NOI347.0,GPA.178,RC2.81,RC272.05,XR2.99,XR272.18,RCAA-2.04,XR+-1.89,RCWIN-0.24,XRWIN-0.22,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.079,10.20,3.92,0.022,-,0.130,0.405,-,35.3%,
