アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,191,41.1%,安打,155,72.8%
フライ,152,32.7%,四死球,54,25.4%
空三振,94,20.2%,失策出塁,3,1.4%
見三振,20,4.3%,野選,1,0.5%
犠打,8,1.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
