HQS率-,SQS率-,被打率.340,被BABIP.390,被出塁率.373,被長打率.511,K/BB3.50,K/95.56,BB/91.59,HR/90.00,GO/AO0.56,援護率-,IPR1.62,NHB%44.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.29,63.2%,-2.79,-0.32,-3.17,44,7.1,0,0,11.1,7,4,4,
