球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,88,42.5%,143.6,5,17,18,29,45.5%,11.9%,.316,19,6,0,1,1,1
カットボール,44,21.3%,136.5,5,11,11,7,61.4%,19.2%,.300,10,3,0,1,0,0
スライダー,40,19.3%,127.0,3,9,8,15,50.0%,18.8%,.222,9,2,0,4,0,0
チェンジアップ,25,12.1%,132.2,3,2,2,10,28.0%,23.1%,.556,9,5,0,1,0,0
シュート,6,2.9%,141.0,1,1,3,1,83.3%,25.0%,-,0,0,0,0,0,0
カーブ,4,1.9%,117.5,1,0,1,2,50.0%,50.0%,-,0,0,0,0,1,0
