アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,18,25.4%,安打,25,69.4%
フライ,26,36.6%,四死球,10,27.8%
空三振,18,25.4%,失策出塁,1,2.8%
見三振,3,4.2%,野選,0,0.0%
犠打,6,8.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
