HQS率-,SQS率-,被打率.275,被BABIP.338,被出塁率.347,被長打率.396,K/BB2.10,K/98.10,BB/93.86,HR/90.77,GO/AO0.69,援護率-,IPR1.94,NHB%39.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.34,71.4%,-3.33,-0.38,-3.12,190,3.1,0,0,23.1,12,11,22,
