打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,11,1,0.091,0,3,0,0,0,0.091
2打席目,11,4,0.364,0,2,0,0,0,0.364
3打席目,8,1,0.125,0,2,0,2,0,0.125
4打席目,3,0,0.0,0,0,1,0,0,0.25
5打席目以上,1,0,0.0,0,1,0,0,0,0.0
