NOI258.8,GPA.134,RC0.67,RC270.60,XR0.84,XR270.75,RCAA-2.97,XR+-2.85,RCWIN-0.34,XRWIN-0.33,BABIP.231
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.024,37.00,4.63,-0.000,-,0.029,0.250,-,24.3%,
