HQS率100.0%,SQS率100.0%,被打率.278,被BABIP.323,被出塁率.289,被長打率.278,K/BB6.00,K/96.00,BB/91.00,HR/90.00,GO/AO0.50,援護率1.29,IPR0.50,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.40,63.6%,-0.66,-0.08,-0.96,37,2.0,7,1,2.0,4,0,0,
