HQS率-,SQS率-,被打率.286,被BABIP.267,被出塁率.308,被長打率.543,K/BB2.50,K/94.66,BB/91.86,HR/91.86,GO/AO0.83,援護率-,IPR2.42,NHB%10.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.01,87.0%,-0.41,-0.05,-0.74,69,4.0,0,0,9.2,4,1,6,
