防御率3.72,試合10,先発0,救援10,連投(試)0,連投(日)0,勝利1,敗戦0,HLD2,Ｓ1,ＨＰ3,ＳＰ2,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,9.2,39,136,14.1,10,2,5,2,0,0,0,0,4,4,1.24,-
