NOI0.0,GPA.000,RC-0.96,RC27-2.87,XR-0.87,XR27-2.60,RCAA-1.81,XR+-1.73,RCWIN-0.21,XRWIN-0.20,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.29,0.000,-,0.000,0.000,-,77.8%,
