守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.000,2,8,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,.250,.000,0.25
中堅手,.270,27,117,100,9,27,4,1,0,33,8,20,8,0,0,9,0,0,3,1,.324,.330,0.654
右翼手,.125,3,9,8,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,.125,.125,0.25
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.259,21,27,27,5,7,0,0,0,7,2,8,0,0,0,0,0,1,1,0,.259,.259,0.519
