左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
54.1% (152),54.1% (152),54.1% (152),23.1% (65),23.1% (65),23.1% (65),22.8% (64),22.8% (64),22.8% (64)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
57.6% (49),100.0% (4),51.6% (99),29.4% (25),0.0% (0),20.8% (40),12.9% (11),0.0% (0),27.6% (53)
