アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,12,33.3%,安打,16,69.6%
フライ,11,30.6%,四死球,7,30.4%
空三振,12,33.3%,失策出塁,0,0.0%
見三振,1,2.8%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
