HQS率-,SQS率-,被打率.308,被BABIP.343,被出塁率.390,被長打率.577,K/BB1.86,K/99.24,BB/94.97,HR/92.84,GO/AO1.09,援護率-,IPR1.58,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.45,86.2%,-3.29,-0.38,-3.72,38,7.0,0,0,12.2,8,0,4,
