HQS率0.0%,SQS率0.0%,被打率.340,被BABIP.400,被出塁率.386,被長打率.500,K/BB2.71,K/96.93,BB/92.55,HR/90.73,GO/AO0.58,援護率1.50,IPR1.20,NHB%55.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.22,53.4%,-12.83,-1.48,-10.67,114,3.2,12,2,12.0,10,5,7,
