防御率3.13,試合18,先発18,救援0,連投(試)0,連投(日)0,勝利7,敗戦7,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投2,完封2,無四球2
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,106.1,440,1712,16.1,106,8,77,24,0,0,2,0,43,37,1.22,55.6%
