種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,4.32,3,3,0,1,1,0,0,0,0,0,0,16.2,18,2,13,4,0,8,8,1.32,0.269,2.65,-
Nighter,2.91,15,15,0,6,6,0,0,0,0,0,0,89.2,88,6,64,20,0,35,29,1.2,0.256,3.87,-
