HQS率16.7%,SQS率16.7%,被打率.258,被BABIP.299,被出塁率.297,被長打率.363,K/BB3.21,K/96.52,BB/92.03,HR/90.68,GO/AO1.05,援護率3.68,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.94,73.2%,-3.48,-0.40,-1.09,389,0.0,110,45,0.0,0,0,0,
