防御率3.40,試合42,先発0,救援42,連投(試)0,連投(日)0,勝利2,敗戦1,HLD9,Ｓ0,ＨＰ11,ＳＰ2,救勝2,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,39.2,182,686,17.3,40,2,24,21,3,4,3,1,15,15,1.54,-
