球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,1380,46.2%,149.5,144,283,354,359,56.6%,19.5%,.220,350,77,11,119,13,5
スプリット,581,19.5%,141.9,83,67,110,184,44.8%,25.2%,.283,166,47,0,30,2,0
縦スライダー,365,12.2%,133.7,59,41,63,130,44.7%,30.4%,.185,92,17,1,22,6,1
スライダー,291,9.7%,132.5,41,65,38,96,49.5%,31.5%,.215,65,14,3,17,4,0
ツーシーム,153,5.1%,147.4,14,21,39,56,48.4%,18.4%,.385,26,10,0,3,1,1
カーブ,82,2.7%,122.1,4,27,5,25,43.9%,13.3%,.318,22,7,0,1,0,0
カットボール,77,2.6%,146.2,4,9,23,28,46.8%,10.0%,.357,14,5,0,2,0,1
チェンジアップ,44,1.5%,133.4,2,5,5,25,27.3%,14.3%,.250,8,2,0,1,0,0
ナックルカーブ,12,0.4%,120.3,1,3,2,5,50.0%,25.0%,.000,1,0,0,0,0,0
スローボール,1,0.0%,-,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
