種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,1.48,9,9,0,4,3,0,0,0,0,0,0,67.0,58,2,70,9,2,12,11,1.0,0.235,3.88,-
Nighter,3.05,18,18,0,10,5,0,0,0,0,0,0,129.2,121,13,125,20,6,48,44,1.09,0.243,4.24,-
