HQS率59.3%,SQS率74.1%,被打率.241,被BABIP.305,被出塁率.275,被長打率.348,K/BB6.72,K/98.92,BB/91.33,HR/90.69,GO/AO0.87,援護率4.11,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.26,80.0%,13.09,1.51,11.42,730,0.0,210,96,0.0,0,0,0,
