アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,173,29.9%,安打,179,81.7%
フライ,198,34.3%,四死球,37,16.9%
空三振,142,24.6%,失策出塁,3,1.4%
見三振,53,9.2%,野選,0,0.0%
犠打,12,2.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
