条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.227,343,321,73,11,1,9,88,10,4,5,3
対左打者,0.251,454,423,106,14,4,6,107,19,4,7,1
