条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,1,9,1,2,3,0,5,0,0,0,0,0,21
敗戦,3,4,2,4,6,4,3,2,2,0,0,0,30
勝敗無,0,2,1,5,1,0,0,0,0,0,0,0,9
