条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.293,154,147,43,6,0,6,21,7,0,0,0
対左打者,0.206,106,97,20,5,0,0,15,3,2,4,0
