打率.301,試合75,打席307,打数256,得点28,安打77,内安4,内安率5.2,２Ｂ17,３Ｂ1,本塁10,HR勝敗6-2-0,塁打126,打点41,三振43
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
47,5,2,0,2,0,0,-,0,0,6,.321,.410,.492,.903
