NOI574.5,GPA.308,RC52.25,RC277.54,XR50.46,XR277.29,RCAA22.03,XR+19.88,RCWIN2.55,XRWIN2.30,BABIP.327
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.09,0.110,6.53,7.14,0.191,25.60,0.375,0.946,0.00,32.6%,
