球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,568,45.7%,147.9,28,105,96,238,40.3%,12.4%,.348,115,40,5,15,28,1
スライダー,138,11.1%,129.4,13,27,23,57,45.7%,24.1%,.174,23,4,1,5,3,1
フォーク,113,9.1%,136.3,10,20,19,42,43.4%,19.6%,.107,28,3,0,6,1,0
カットボール,94,7.6%,139.0,11,22,18,29,54.3%,25.6%,.227,22,5,0,9,1,0
スプリット,71,5.7%,139.7,12,11,6,27,40.8%,36.4%,.222,18,4,1,3,4,0
チェンジアップ,59,4.7%,130.3,3,8,3,29,23.7%,13.6%,.368,19,7,2,3,2,0
カーブ,53,4.3%,116.7,0,13,8,26,39.6%,0.0%,.333,6,2,0,0,1,0
ツーシーム,53,4.3%,140.8,2,16,8,22,49.1%,13.3%,.600,5,3,0,0,1,0
シンカー,40,3.2%,133.5,0,13,2,16,37.5%,0.0%,.400,10,4,0,1,1,0
シュート,25,2.0%,143.4,2,6,4,7,48.0%,16.7%,.667,6,4,0,0,0,0
ナックルカーブ,15,1.2%,124.4,1,4,2,6,46.7%,20.0%,.500,2,1,1,0,0,0
縦スライダー,7,0.6%,132.2,0,1,0,5,14.3%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,2,0.2%,124.0,0,2,0,0,100.0%,-%,.000,1,0,0,1,0,0
高速スライダー,2,0.2%,-,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,99.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.1%,135.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
ワンシーム,1,0.1%,147.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
