NOI448.0,GPA.240,RC46.56,RC273.90,XR47.04,XR273.94,RCAA2.56,XR+2.52,RCWIN0.30,XRWIN0.29,BABIP.280
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.61,0.061,12.77,7.84,0.122,44.44,0.207,0.607,1.80,22.6%,
