HQS率-,SQS率-,被打率.182,被BABIP.242,被出塁率.321,被長打率.250,K/BB1.30,K/98.56,BB/96.59,HR/90.00,GO/AO0.32,援護率-,IPR2.73,NHB%47.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.06,72.2%,-0.04,-0.00,-0.49,111,3.1,0,0,13.2,5,9,15,
