条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.273,26,22,6,3,0,0,8,4,0,0,0,0.385
1塁,0.0,4,1,0,0,0,0,0,3,0,0,0,0.75
2塁,0.0,5,4,0,0,0,0,1,0,0,1,0,0.0
3塁,0.0,3,2,0,0,0,0,1,1,0,0,0,0.333
1・2塁,0.286,9,7,2,0,0,0,1,2,0,0,0,0.444
1・3塁,0.0,4,3,0,0,0,0,0,0,0,1,0,0.0
2・3塁,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0
満塁,0.0,6,4,0,0,0,0,2,0,0,0,2,0.0
得点圏,0.095,28,21,2,0,0,0,5,3,0,2,2,0.192
