打率.247,試合86,打席182,打数166,得点20,安打41,内安8,内安率19.5,２Ｂ5,３Ｂ2,本塁1,HR勝敗0-1-0,塁打53,打点18,三振46
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,0,4,1,1,11,2,84.6,4,0,2,.361,.304,.319,.623
