NOI410.3,GPA.217,RC17.67,RC273.64,XR17.77,XR273.66,RCAA-0.25,XR+-0.35,RCWIN-0.03,XRWIN-0.04,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.22,0.057,18.20,3.96,0.072,166.00,0.187,0.589,1.83,31.3%,
