NOI142.9,GPA.075,RC-0.93,RC27-0.90,XR-0.73,XR27-0.71,RCAA-3.88,XR+-3.70,RCWIN-0.46,XRWIN-0.44,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,2.38,-0.000,-,0.000,0.120,-,41.9%,
