NOI0.0,GPA.000,RC-0.20,RC27-2.70,XR-0.18,XR27-2.43,RCAA-0.40,XR+-0.38,RCWIN-0.05,XRWIN-0.04,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.000,-,0.0%,
