条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.189,109,95,18,4,0,1,30,8,0,5,1
対左投手,0.225,95,89,20,2,2,2,26,4,0,2,0
