NOI666.7,GPA.350,RC0.45,RC2712.04,XR0.40,XR2710.85,RCAA0.25,XR+0.20,RCWIN0.03,XRWIN0.02,BABIP1.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,1.000,-,50.0%,
