HQS率-,SQS率-,被打率.278,被BABIP.300,被出塁率.316,被長打率.519,K/BB3.67,K/97.62,BB/92.08,HR/92.08,GO/AO0.93,援護率-,IPR1.18,NHB%12.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.74,50.7%,-6.17,-0.71,-5.61,39,7.2,0,0,13.0,11,1,4,
