HQS率14.3%,SQS率28.6%,被打率.278,被BABIP.329,被出塁率.320,被長打率.435,K/BB4.09,K/97.59,BB/91.86,HR/91.01,GO/AO0.91,援護率4.20,IPR3.00,NHB%12.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.22,71.9%,-6.64,-0.78,-7.39,190,5.0,45,21,12.0,4,1,5,
