防御率4.22,試合15,先発7,救援8,連投(試)1,連投(日)1,勝利2,敗戦3,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,53.1,228,844,15.8,58,6,45,11,1,2,1,0,26,25,1.29,57.1%
