アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,50,32.1%,安打,58,80.6%
フライ,55,35.3%,四死球,13,18.1%
空三振,34,21.8%,失策出塁,1,1.4%
見三振,11,7.1%,野選,0,0.0%
犠打,6,3.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
