NOI228.6,GPA.121,RC-0.42,RC27-0.25,XR-0.21,XR27-0.12,RCAA-5.46,XR+-5.27,RCWIN-0.64,XRWIN-0.62,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.033,26.50,3.31,0.039,-,0.078,0.239,-,34.0%,
