球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,96,46.8%,145.5,18,12,23,26,55.2%,31.0%,0.13,23,3,0,6,1,0
スライダー,37,18.0%,127.2,3,9,6,12,48.6%,18.8%,0.125,8,1,0,1,0,0
カットボール,20,9.8%,137.6,8,1,4,2,65.0%,47.1%,0.143,7,1,0,2,0,0
フォーク,19,9.3%,135.4,7,1,1,9,47.4%,77.8%,0.2,5,1,0,4,1,0
チェンジアップ,13,6.3%,127.4,4,1,3,4,61.5%,50.0%,0.333,3,1,0,2,0,0
カーブ,7,3.4%,116.7,1,2,1,3,57.1%,50.0%,0.0,1,0,0,1,0,0
スプリット,5,2.4%,140.8,0,1,2,1,60.0%,0.0%,0.0,1,0,0,0,0,0
シュート,3,1.5%,151.0,0,0,1,1,33.3%,0.0%,0.0,1,0,0,0,0,0
ツーシーム,3,1.5%,149.7,0,0,1,1,33.3%,0.0%,0.0,1,0,0,0,0,0
シンカー,2,1.0%,124.5,0,0,1,0,50.0%,0.0%,0.0,1,0,0,0,0,0
