HQS率33.3%,SQS率33.3%,被打率.244,被BABIP.269,被出塁率.269,被長打率.325,K/BB3.80,K/95.29,BB/91.39,HR/90.56,GO/AO0.64,援護率3.55,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.83,74.5%,1.02,0.12,1.92,137,0.0,33,13,2.1,0,0,1,
