種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,1.29,2,2,0,2,0,0,0,0,0,0,0,14.0,6,1,8,2,0,2,2,0.57,0.128,3.6,-
Nighter,3.44,5,4,1,2,2,0,0,1,1,1,0,18.1,24,1,11,3,0,9,7,1.47,0.316,3.5,-
