0
最終登板
連投状況
10/3
試:0連投中日:0連投中
登録状況
△4/20登録
▼5/10抹消
△6/18登録
▼7/7抹消
△7/20登録
▼7/21抹消
△10/3登録
▼10/4抹消
△10/19登録
""
