NOI381.7,GPA.204,RC10.15,RC272.80,XR10.20,XR272.81,RCAA-2.65,XR+-2.75,RCWIN-0.31,XRWIN-0.32,BABIP.289
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.26,0.060,14.44,3.82,0.111,117.00,0.205,0.526,1.33,33.8%,
