チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.133,7,18,15,1,2,0,1,0,4,1,1,3,1,0,0,0,0,0,0,0.278,0.267,0.544
日本ハム,0.182,9,26,22,0,4,1,0,0,5,0,7,3,0,1,0,0,0,0,1,0.308,0.227,0.535
ロッテ,0.158,8,21,19,1,3,1,0,0,4,1,8,1,0,0,1,0,1,0,0,0.2,0.211,0.411
オリックス,0.276,10,31,29,3,8,3,0,0,11,2,9,1,0,0,0,1,0,0,0,0.29,0.379,0.67
西武,0.333,6,11,9,0,3,1,0,0,4,1,0,1,0,0,1,0,1,0,0,0.4,0.444,0.844
