防御率3.61,試合42,先発1,救援41,連投(試)0,連投(日)0,勝利1,敗戦2,HLD5,Ｓ0,ＨＰ6,ＳＰ1,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,42.1,181,737,17.4,33,4,22,18,1,3,2,0,17,17,1.20,0.0%
