打率.272,試合138,打席577,打数525,得点63,安打143,内安9,内安率6.3,２Ｂ25,３Ｂ1,本塁12,HR勝敗10-2-0,塁打206,打点65,三振85
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
46,0,1,0,5,8,1,88.9,14,0,9,.330,.329,.392,.722
