NOI460.1,GPA.246,RC69.63,RC274.74,XR69.38,XR274.72,RCAA12.83,XR+11.91,RCWIN1.48,XRWIN1.38,BABIP.303
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.54,0.057,12.54,6.79,0.120,43.75,0.221,0.663,9.60,24.8%,
