球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,911,43.2%,148.1,61,123,192,322,41.3%,13.1%,.276,239,66,10,30,23,1
スライダー,246,11.7%,131.0,42,41,41,86,50.4%,35.3%,.250,52,13,0,16,5,0
フォーク,236,11.2%,136.9,56,23,35,84,48.3%,43.4%,.250,52,13,0,15,5,0
チェンジアップ,173,8.2%,133.0,21,18,21,74,34.7%,25.9%,.186,43,8,0,4,4,0
カットボール,171,8.1%,138.4,17,26,43,46,50.3%,17.2%,.395,43,17,2,4,0,0
カーブ,117,5.5%,118.6,11,30,9,39,42.7%,22.9%,.152,33,5,0,5,2,0
スプリット,92,4.4%,138.5,22,8,14,33,47.8%,43.1%,.250,20,5,0,5,0,0
ツーシーム,51,2.4%,143.2,5,6,9,18,39.2%,18.5%,.467,15,7,0,2,1,0
シンカー,46,2.2%,133.2,1,4,6,23,23.9%,5.3%,.417,12,5,0,0,4,0
縦スライダー,23,1.1%,130.6,5,3,2,11,43.5%,55.6%,.000,4,0,0,2,2,0
ナックルカーブ,18,0.9%,127.0,2,3,2,6,38.9%,22.2%,.429,7,3,0,2,0,0
シュート,18,0.9%,140.5,0,3,2,9,27.8%,0.0%,.250,4,1,0,0,0,0
パワーカーブ,7,0.3%,122.0,0,1,1,4,28.6%,0.0%,.000,1,0,0,0,0,0
スラーブ,1,0.0%,97.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
