アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,151,39.0%,安打,143,74.9%
フライ,151,39.0%,四死球,47,24.6%
空三振,74,19.1%,失策出塁,0,0.0%
見三振,11,2.8%,野選,1,0.5%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
