左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
30.7% (135),30.7% (135),30.7% (135),24.5% (108),24.5% (108),24.5% (108),44.8% (197),44.8% (197),44.8% (197)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
26.0% (34),8.3% (1),33.7% (100),38.2% (50),0.0% (0),19.5% (58),35.9% (47),91.7% (11),46.8% (139)
