チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ソフトバンク,0.253,25,104,95,6,24,1,1,1,30,10,19,9,0,0,0,0,0,0,1,0.317,0.316,0.633
ロッテ,0.317,25,105,101,12,32,9,0,2,47,14,14,4,0,0,0,0,2,0,3,0.343,0.465,0.808
楽天,0.253,24,95,79,17,20,4,0,2,30,10,10,15,0,0,0,1,1,0,2,0.368,0.38,0.748
オリックス,0.308,24,98,91,8,28,4,0,3,41,13,16,7,0,0,0,0,1,1,1,0.357,0.451,0.808
西武,0.198,23,100,91,13,18,1,0,3,28,11,18,8,0,0,0,1,2,0,7,0.26,0.308,0.568
