NOI374.6,GPA.196,RC3.00,RC272.70,XR2.95,XR272.65,RCAA-1.04,XR+-1.14,RCWIN-0.12,XRWIN-0.13,BABIP.296
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.060,13.67,4.56,0.056,-,0.139,0.464,-,29.3%,
