球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,81,50.3%,144.9,5,20,18,27,53.1%,14.7%,0.267,15,4,0,5,2,0
スライダー,23,14.3%,128.0,2,6,1,6,39.1%,18.2%,0.1,10,1,0,2,0,0
チェンジアップ,20,12.4%,125.7,0,2,8,8,50.0%,0.0%,0.0,2,0,0,0,0,0
フォーク,13,8.1%,135.1,3,2,3,3,61.5%,37.5%,0.0,4,0,0,2,0,0
カットボール,11,6.8%,134.9,1,3,1,4,45.5%,25.0%,1.0,2,2,0,0,1,0
ツーシーム,10,6.2%,133.3,0,0,5,3,50.0%,0.0%,0.0,1,0,0,0,0,0
カーブ,2,1.2%,120.5,0,1,0,0,50.0%,0.0%,1.0,1,1,0,0,0,0
シュート,1,0.6%,146.0,0,0,0,0,0.0%,0.0%,0.0,1,0,0,0,0,0
