NOI405.3,GPA.195,RC0.81,RC272.73,XR0.91,XR273.06,RCAA-0.33,XR+-0.24,RCWIN-0.04,XRWIN-0.03,BABIP.200
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.239,4.00,4.00,0.000,-,0.375,0.571,-,50.0%,
