NOI313.7,GPA.165,RC0.43,RC270.78,XR0.49,XR270.89,RCAA-1.28,XR+-1.23,RCWIN-0.15,XRWIN-0.14,BABIP.400
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.57,0.000,-,-0.059,0.214,-,38.9%,
